accession	description
"SRR7747423"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028749"
"SRR7747426"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028756"
"SRR7747428"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028764"
"SRR7747432"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028780"
"SRR7747434"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3035347"
"SRR7747436"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028788"
"SRR7747437"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028789"
"SRR7747438"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028796"
"SRR7747439"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028797"
"SRR7747441"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028805"
"SRR7747443"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028813"
"SRR7747445"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3035355"
"SRR7747447"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028821"
"SRR7747449"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028829"
"SRR7747451"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028837"
"SRR7747563"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028862"
"SRR7747565"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028870"
"SRR7747678"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028911"
"SRR7747680"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3035376"
"SRR7747682"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028919"
"SRR7747683"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028926"
"SRR7747685"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028934"
"SRR7747687"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3029039"
"SRR7747689"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3035417"
"SRR7747691"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3029047"
"SRR7747692"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3029048"
"SRR7747694"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3029056"
"SRR7747696"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3029064"
"SRR7747708"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3041665"
"SRR7747711"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3041669"
"SRR7747713"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3041674"
"SRR7747717"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028974"
"SRR7747721"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028982"
"SRR7747726"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028999"
"SRR7747558"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028846"
"SRR7747560"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3035362"
"SRR7747562"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028855"
"SRR7747564"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028863"
"SRR7747566"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028871"
"SRR7747402"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3040425"
"SRR7747684"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028927"
"SRR7747686"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028935"
"SRR7747688"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3029040"
"SRR7747690"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3035418"
"SRR7747693"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3029055"
"SRR7747695"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3029063"
"SRR7747710"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3039765"
"SRR7747712"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3041670"
"SRR7747714"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3041675"
"SRR7747716"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3041680"
