accession	description
"SRR12520045"	"Illumina HiSeq 2500 sequencing; GSM4747269: Blood_Platelets_NKI-NSCLC-882 [NKI-NSCLC-882-TR1319]; Homo sapiens; RNA-Seq"
"SRR12520047"	"Illumina HiSeq 2500 sequencing; GSM4747270: Blood_Platelets_Vumc-NSCLC-391 [Vumc-NSCLC-391-TR1272]; Homo sapiens; RNA-Seq"
"SRR12520049"	"Illumina HiSeq 2500 sequencing; GSM4747272: Blood_Platelets_NKI-NSCLC-1535 [NKI-NSCLC-1535-TR1308]; Homo sapiens; RNA-Seq"
"SRR12520051"	"Illumina HiSeq 2500 sequencing; GSM4747273: Blood_Platelets_Vumc-NSCLC-514 [Vumc-NSCLC-514-TR1306]; Homo sapiens; RNA-Seq"
"SRR12520019"	"Illumina HiSeq 2500 sequencing; GSM4747244: Blood_Platelets_Vumc-NSCLC-183 [Vumc-NSCLC-183-TR671]; Homo sapiens; RNA-Seq"
"SRR12520020"	"Illumina HiSeq 2500 sequencing; GSM4747245: Blood_Platelets_MGH-NSCLC-L115 [MGH-NSCLC-L115-TR684]; Homo sapiens; RNA-Seq"
"SRR12520021"	"Illumina HiSeq 2500 sequencing; GSM4747246: Blood_Platelets_MGH-NSCLC-L117 [MGH-NSCLC-L117-TR686]; Homo sapiens; RNA-Seq"
"SRR12520027"	"Illumina HiSeq 2500 sequencing; GSM4747252: Blood_Platelets_MGH-NSCLC-L169 [MGH-NSCLC-L169-TR914]; Homo sapiens; RNA-Seq"
"SRR12520029"	"Illumina HiSeq 2500 sequencing; GSM4747254: Blood_Platelets_Vumc-NSCLC-130 [Vumc-NSCLC-130-TR952]; Homo sapiens; RNA-Seq"
"SRR12520030"	"Illumina HiSeq 2500 sequencing; GSM4747255: Blood_Platelets_Vumc-NSCLC-149 [Vumc-NSCLC-149-TR954]; Homo sapiens; RNA-Seq"
"SRR12520034"	"Illumina HiSeq 2500 sequencing; GSM4747258: Blood_Platelets_Vumc-NSCLC-169 [Vumc-NSCLC-169-TR961]; Homo sapiens; RNA-Seq"
"SRR12520003"	"Illumina HiSeq 2500 sequencing; GSM4747228: Blood_Platelets_MGH-NSCLC-L39 [MGH-NSCLC-L39-TR519]; Homo sapiens; RNA-Seq"
"SRR12520005"	"Illumina HiSeq 2500 sequencing; GSM4747230: Blood_Platelets_MGH-NSCLC-L65 [MGH-NSCLC-L65-TR523]; Homo sapiens; RNA-Seq"
"SRR12520007"	"Illumina HiSeq 2500 sequencing; GSM4747232: Blood_Platelets_Vumc-NSCLC-151 [Vumc-NSCLC-151-TR463]; Homo sapiens; RNA-Seq"
"SRR12520010"	"Illumina HiSeq 2500 sequencing; GSM4747235: Blood_Platelets_MGH-NSCLC-L88 [MGH-NSCLC-L88-TR601]; Homo sapiens; RNA-Seq"
"SRR12520011"	"Illumina HiSeq 2500 sequencing; GSM4747236: Blood_Platelets_Vumc-NSCLC-VU146 [Vumc-NSCLC-VU146-TR374]; Homo sapiens; RNA-Seq"
"SRR12520014"	"Illumina HiSeq 2500 sequencing; GSM4747239: Blood_Platelets_MGH-NSCLC-L126 [MGH-NSCLC-L126-TR717]; Homo sapiens; RNA-Seq"
"SRR12520016"	"Illumina HiSeq 2500 sequencing; GSM4747241: Blood_Platelets_Vumc-NSCLC-131 [Vumc-NSCLC-131-TR709]; Homo sapiens; RNA-Seq"
