accession	description
"SRR8421077"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL1WK6_20170724"
"SRR8421076"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B3WK6_20170724"
"SRR8421075"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B2WK6_20170724"
"SRR8399294"	"Illumina MiSeq sequencing; KKU_BORDF_Amplicon_M123_Jun2016_20160926"
"SRR8399292"	"Illumina MiSeq sequencing; KKU_BORDF_Amplicon_M76_Jun2016_20160926"
"SRR8399290"	"Illumina MiSeq sequencing; KKU_BORDF_Amplicon_M72_Jun2016_20160926"
"SRR8399285"	"Illumina MiSeq sequencing; KKU_BORDF_Amplicon_M125_Jun2016_20160926"
"SRR8399295"	"Illumina MiSeq sequencing; KKU_BORDF_Amplicon_M78_Jun2016_20160926"
"SRR8399293"	"Illumina MiSeq sequencing; KKU_BORDF_Amplicon_M74_Jun2016_20160926"
"SRR8399284"	"Illumina MiSeq sequencing; KKU_BORDF_Amplicon_M6_RPT_Jun2016_20160926"
"SRR8421255"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL2_1015_20171024"
"SRR8421253"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B3_1015_20171024"
"SRR8421252"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL1_1015_20171024"
"SRR8421250"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B2_1015_20171024"
"SRR8421248"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G3_1015_20171024"
"SRR8421246"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G1_1015_20171024"
"SRR8421244"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R1_0929_20171024"
"SRR8421242"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y2_0929_20171024"
"SRR8421240"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G1_0929_20171024"
"SRR8421238"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y1_1015_20171024"
"SRR8421236"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R3_0929_20171024"
"SRR8421234"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL3_1011_20171024"
"SRR8421232"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R2_1015_20171024"
"SRR8421230"	"Illumina MiSeq sequencing; KKU_BORDR_Ampicon_B2_1011_20171024"
"SRR8421228"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL1_1011_20171024"
"SRR8421226"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G3_0929_20171024"
"SRR8421224"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B1_1011_20171024"
"SRR8421222"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R1_1005_20171024"
"SRR8421220"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL2_0929_20171024"
"SRR8421218"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B3_0929_20171024"
"SRR8421215"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R3_1011_20171024"
"SRR8421213"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y2_1011_20171024"
"SRR8421211"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G1_1011_20171024"
"SRR8421209"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL1_1202_20171218"
"SRR8421194"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL2_1202_20171218"
"SRR8421189"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B3_1202_20171218"
"SRR8421184"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B3_1005_20171024"
"SRR8421182"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B1_1005_20171024"
"SRR8421180"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G2_1005_20171024"
"SRR8421178"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y3_1005_20171024"
"SRR8421176"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL2_1005_20171024"
"SRR8421259"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y1_1005_20171024"
"SRR8421258"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y2_1005_20171024"
"SRR8421254"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL3_1015_20171024"
"SRR8421251"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B1_1015_20171024"
"SRR8421249"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G2_1015_20171024"
"SRR8421247"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y3_1015_20171024"
"SRR8421245"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R2_0929_20171024"
"SRR8421243"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y3_0929_20171024"
"SRR8421241"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G2_0929_20171024"
"SRR8421239"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y2_1015_20171024"
"SRR8421237"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y1_0929_20171024"
"SRR8421235"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R1_1015_20171024"
"SRR8421233"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R3_1015_20171024"
"SRR8421231"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B3_1011_20171024"
"SRR8421229"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL2_1011_20171024"
"SRR8421227"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B1_0929_20171024"
"SRR8421225"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G3_1011_20171024"
"SRR8421223"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL3_0929_20171024"
